target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	1.0	0.6255555555555555	0.6283333333333333	0.6283333333333333	0.6283333333333333
1000	Average Rating	Random	1.0	0.9725925925925926	0.9731481481481481	0.9731481481481481	0.9731481481481481
1000	Average Rating	kNN (full)	1.0	0.6235185185185185	0.6262962962962964	0.6262962962962964	0.6262962962962964
1000	Average Rating	Normalized kNN (full)	0.9168518518518518	0.6751851851851852	0.6775925925925926	0.6775925925925926	0.6775925925925926
1000	Average Rating	kNN (test)	1.0	0.6407407407407407	0.642962962962963	0.642962962962963	0.642962962962963
1000	Average Rating	Popularity	1.0	0.7351851851851852	0.7364814814814815	0.7364814814814815	0.7364814814814815
1000	Average Rating	iMF (full)	1.0	0.61	0.6124074074074074	0.6124074074074074	0.6124074074074074
1000	Average Rating	Normalized kNN (test)	1.0	0.9859259259259259	0.9896296296296296	0.9896296296296296	0.9896296296296296
1000	iMF (test)	Random	1.0	0.6237037037037036	0.6294444444444445	0.6294444444444445	0.6294444444444445
1000	iMF (test)	kNN (full)	1.0	0.5903703703703703	0.7696296296296297	0.7696296296296297	0.7696296296296297
1000	iMF (test)	Normalized kNN (full)	0.9168518518518518	0.5827777777777777	0.7338888888888889	0.7338888888888889	0.7338888888888889
1000	iMF (test)	kNN (test)	1.0	0.5911111111111111	0.7601851851851852	0.7601851851851852	0.7601851851851852
1000	iMF (test)	Popularity	1.0	0.585925925925926	0.7025925925925925	0.7025925925925925	0.7025925925925925
1000	iMF (test)	iMF (full)	1.0	0.6107407407407407	0.8105555555555556	0.8105555555555556	0.8105555555555556
1000	iMF (test)	Normalized kNN (test)	1.0	0.6244444444444445	0.6266666666666667	0.6266666666666667	0.6266666666666667
1000	Random	kNN (full)	1.0	0.6224074074074074	0.6281481481481481	0.6281481481481481	0.6281481481481481
1000	Random	Normalized kNN (full)	0.9168518518518518	0.6746296296296296	0.6794444444444444	0.6794444444444444	0.6794444444444444
1000	Random	kNN (test)	1.0	0.6388888888888888	0.6455555555555555	0.6455555555555555	0.6455555555555555
1000	Random	Popularity	1.0	0.7324074074074074	0.7368518518518519	0.7368518518518519	0.7368518518518519
1000	Random	iMF (full)	1.0	0.6101851851851852	0.6166666666666667	0.6166666666666667	0.6166666666666667
1000	Random	Normalized kNN (test)	1.0	0.9705555555555555	0.9707407407407408	0.9707407407407408	0.9707407407407408
1000	kNN (full)	Normalized kNN (full)	0.9168518518518518	0.6144444444444445	0.7987037037037037	0.7987037037037037	0.7987037037037037
1000	kNN (full)	kNN (test)	1.0	0.6664814814814815	0.8631481481481481	0.8631481481481481	0.8631481481481481
1000	kNN (full)	Popularity	1.0	0.6175925925925926	0.7546296296296297	0.7546296296296297	0.7546296296296297
1000	kNN (full)	iMF (full)	1.0	0.6188888888888889	0.8088888888888889	0.8088888888888889	0.8088888888888889
1000	kNN (full)	Normalized kNN (test)	1.0	0.6216666666666667	0.6238888888888889	0.6238888888888889	0.6238888888888889
1000	Normalized kNN (full)	kNN (test)	0.9168518518518518	0.6138888888888889	0.7811111111111111	0.7811111111111111	0.7811111111111111
1000	Normalized kNN (full)	Popularity	0.9168518518518518	0.6255555555555555	0.7462962962962963	0.7462962962962963	0.7462962962962963
1000	Normalized kNN (full)	iMF (full)	0.9168518518518518	0.5816666666666667	0.7479629629629629	0.7479629629629629	0.7479629629629629
1000	Normalized kNN (full)	Normalized kNN (test)	0.9168518518518518	0.6738888888888889	0.6757407407407408	0.6757407407407408	0.6757407407407408
1000	kNN (test)	Popularity	1.0	0.6542592592592592	0.8103703703703704	0.8103703703703704	0.8103703703703704
1000	kNN (test)	iMF (full)	1.0	0.6231481481481481	0.8085185185185185	0.8085185185185185	0.8085185185185185
1000	kNN (test)	Normalized kNN (test)	1.0	0.6390740740740741	0.6414814814814814	0.6414814814814814	0.6414814814814814
1000	Popularity	iMF (full)	1.0	0.5931481481481482	0.7205555555555555	0.7205555555555555	0.7205555555555555
1000	Popularity	Normalized kNN (test)	1.0	0.7340740740740741	0.7361111111111112	0.7361111111111112	0.7361111111111112
1000	iMF (full)	Normalized kNN (test)	1.0	0.6092592592592593	0.6111111111111112	0.6111111111111112	0.6111111111111112
