fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
2	1000	iMF (test)	1.0	0.15234163358839692	0.05251851851851852	0.22268402512690688	0.07785455199460832
2	1000	Normalized kNN (full)	0.9848333333333334	0.11228772238223295	0.04359259259259259	0.18716578344596707	0.06517057797198568
2	1000	Random	1.0	0.003616129295453512	0.0016666666666666668	0.005539903718150759	0.0022245077454423126
2	1000	iMF (full)	1.0	0.16473930606605042	0.056351851851851854	0.23300445788743665	0.0829387124417967
2	1000	Popularity	1.0	0.09404217940217928	0.035555555555555556	0.149218629085167	0.05255417136159949
2	1000	kNN (test)	1.0	0.1532753320749501	0.0515925925925926	0.21556275453449938	0.07616570969422301
2	1000	Normalized kNN (test)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
2	1000	kNN (full)	1.0	0.16148652815472303	0.05475925925925926	0.22787859389155407	0.08062535976524765
1	1000	Average Rating	1.0	8.384406204741109E-4	4.814814814814815E-4	0.0017425879036134036	6.506285926895076E-4
1	1000	iMF (test)	1.0	0.15772419498595994	0.053648148148148146	0.23065210240888703	0.07999533450822661
1	1000	Normalized kNN (full)	0.9772962962962962	0.11438919063978928	0.04375925925925926	0.18945795730232126	0.06542762621803942
1	1000	Random	1.0	0.0038227654458688714	0.0016851851851851852	0.006265766671981506	0.002319639018977719
1	1000	iMF (full)	1.0	0.1717688179669988	0.05725925925925926	0.24133373369544592	0.08460623742596206
1	1000	Popularity	1.0	0.09195953854188141	0.034722222222222224	0.1456492362291674	0.05123638899641386
1	1000	kNN (test)	1.0	0.15412736513544759	0.051500000000000004	0.21879059812917426	0.07623942016836786
1	1000	Normalized kNN (test)	1.0	0.0018281474790254797	7.962962962962962E-4	0.004023532267891101	0.0011800071843230012
1	1000	kNN (full)	1.0	0.16282769868855426	0.05496296296296296	0.23301614406342833	0.08144183744067203
5	1000	Average Rating	1.0	0.0016536457453755096	7.037037037037038E-4	0.002894179894179894	0.0010021176777712726
5	1000	iMF (test)	1.0	0.15136867890226086	0.052888888888888895	0.22469171945520186	0.07838975681974392
5	1000	Normalized kNN (full)	0.9797777777777779	0.1134982301116909	0.044222222222222225	0.18592360144002013	0.06580731759916038
5	1000	Random	1.0	0.0046113387276256815	0.0020925925925925925	0.0075294218120305085	0.0028824619807419926
5	1000	iMF (full)	1.0	0.16509769273946773	0.05644444444444445	0.23387713439310232	0.08300967020620696
5	1000	Popularity	1.0	0.09394612391385448	0.03553703703703704	0.14760245365434574	0.0522151633841417
5	1000	kNN (test)	1.0	0.15476263858896624	0.05218518518518519	0.21979684787195714	0.07705208606241032
5	1000	Normalized kNN (test)	1.0	0.0017445084491611049	8.333333333333334E-4	0.003488127861252702	0.0011464848917979293
5	1000	kNN (full)	1.0	0.16143217358298798	0.05507407407407408	0.22920276684116503	0.08096169688316182
4	1000	Average Rating	1.0	0.0018997901492690526	9.074074074074074E-4	0.003582561153976333	0.0012493062751408781
4	1000	iMF (test)	1.0	0.15022151566633987	0.05138888888888889	0.22149654148621667	0.07679604518187898
4	1000	Normalized kNN (full)	0.9823518518518518	0.10953711837436075	0.04203703703703704	0.1802154033853569	0.06321078659607375
4	1000	Random	1.0	0.004394962203771687	0.002	0.007149643622310731	0.002765545799140282
4	1000	iMF (full)	1.0	0.16556025574521674	0.05538888888888889	0.23482775102845632	0.0820981556950662
4	1000	Popularity	1.0	0.0911746035415355	0.033944444444444444	0.14434085066040483	0.050253400276762256
4	1000	kNN (test)	1.0	0.14743104719595573	0.050277777777777775	0.21329419757130003	0.07453065507309738
4	1000	Normalized kNN (test)	1.0	0.0026257366231163463	0.0010555555555555557	0.0042900112887971015	0.0015024896727109777
4	1000	kNN (full)	1.0	0.15553849461533611	0.05407407407407407	0.22683644514889192	0.07994972758374846
3	1000	Average Rating	1.0	0.002165550834836766	0.0010555555555555557	0.004102480238359151	0.0015374772106224923
3	1000	iMF (test)	1.0	0.15537142526976006	0.05425925925925926	0.22721794350688082	0.08034288653392845
3	1000	Normalized kNN (full)	0.9807592592592593	0.11051129774153545	0.043555555555555556	0.18191117914084962	0.0649411100798223
3	1000	Random	1.0	0.0039461097410352945	0.0018888888888888892	0.006466403160156645	0.0025191276934431526
3	1000	iMF (full)	1.0	0.16923704356503672	0.05727777777777778	0.23330609616770936	0.08396863558168746
3	1000	Popularity	1.0	0.09515328782078136	0.03564814814814815	0.14675062515265894	0.05246785349527822
3	1000	kNN (test)	1.0	0.1560135619985694	0.05251851851851852	0.21849454404572827	0.07757093111108525
3	1000	Normalized kNN (test)	1.0	0.0026748587551766495	0.0012962962962962963	0.0053645290017082835	0.0018123804231096657
3	1000	kNN (full)	1.0	0.16297891301753378	0.05524074074074074	0.22852003706351082	0.08135221278737308
