====================
Dataset: ml1m-unpopular-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8862549668874173	0.8862549668874173	0.8616026490066225	0.8751490066225166	0.676841059602649	0.8824039735099337	0.8861688741721855	0.8861688741721855	0.8862549668874173
1	0.913182119205298	0.913182119205298	0.873092715231788	0.892132450331126	0.6783741721854304	0.9054933774834437	0.9131059602649007	0.9131059602649007	0.913182119205298
2	0.9372218543046358	0.9372218543046358	0.8797483443708609	0.9047218543046357	0.6785364238410596	0.9253311258278147	0.937158940397351	0.937158940397351	0.9372218543046358
5	0.9854834437086092	0.9854834437086092	0.8895529801324503	0.9235794701986755	0.6788509933774834	0.9550860927152318	0.9829437086092716	0.9829437086092716	0.9854834437086092
10	0.9999933774834437	0.9999933774834437	0.911271523178808	0.9527218543046357	0.6806655629139072	0.9836291390728477	0.9999701986754967	0.9999701986754967	0.9999933774834437
20	1.0	1.0	0.9566092715231788	0.9883145695364238	0.6956324503311258	0.9992880794701987	1.0	1.0	1.0
50	1.0	1.0	0.9778443708609272	0.9981291390728477	0.6982450331125827	1.0	1.0	1.0	1.0
100	1.0	1.0	0.9991754966887418	0.999996688741722	0.7336821192052981	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.7727019867549669	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.8321258278145696	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.899798013245033	1.0	1.0	1.0	1.0
2000	1.0	1.0	1.0	1.0	0.9618509933774835	1.0	1.0	1.0	1.0
3706	1.0	1.0	1.0	1.0	0.9954834437086093	1.0	1.0	1.0	1.0

