====================
Dataset: yahoo
====================

nDCG@10
Recommender	Full	Unbiased	Test
iMF (full)	0.16769106415618765	0.025837678931685364	0.5772210730620818
iMF (test)	0.15149438977851198	0.025450227735610544	0.5832866177093775
kNN (full/test)	0.16105482565407764	0.024227322789860048	0.5740638357104441
Normalized kNN (full)	0.11206859977348609	0.019314230549116396	0.5591481581360952
Normalized kNN (test)	0.003944186986868479	0.005193366613859041	0.5794461854619856
Average Rating	0.001755325611699885	0.003977236267848272	0.5738029278808916
Popularity	0.09325514664404641	0.0140270796536929	0.5513397001346664
Random	0.004258122327698388	0.002382843740092136	0.5333613672045454

P@10
Recommender	Full	Unbiased	Test
iMF (full)	0.05633333333333333	0.006692592592592593	0.17044074074074075
iMF (test)	0.05255555555555556	0.006807407407407408	0.17075555555555555
kNN (full/test)	0.05463333333333333	0.006511111111111112	0.17003333333333331
Normalized kNN (full)	0.04344814814814815	0.005411111111111111	0.16830000000000003
Normalized kNN (test)	0.001777777777777778	0.001688888888888889	0.16993703703703705
Average Rating	8.481481481481482E-4	0.0015925925925925927	0.16950740740740738
Popularity	0.03508148148148148	0.004277777777777778	0.16805185185185184
Random	0.0018703703703703705	8.555555555555556E-4	0.1667740740740741

Recall@10
Recommender	Full	Unbiased	Test
iMF (full)	0.23474060155310678	0.04469090241034685	0.666678270398266
iMF (test)	0.22465713344732427	0.04528040858318636	0.6671678332515618
kNN (full/test)	0.22891223901318614	0.04226791593180481	0.6661979907506425
Normalized kNN (full)	0.18499713062191533	0.035235052910052904	0.6616667943056563
Normalized kNN (test)	0.0073159107474083315	0.009625749559082892	0.666177350792709
Average Rating	0.003282202893273326	0.008868768371546149	0.6651907170710192
Popularity	0.14671235895634877	0.026213521457965905	0.6620386510592281
Random	0.006817782480800523	0.004307069370958259	0.6587981852432396

FScore@10
Recommender	Full	Unbiased	Test
iMF (full)	0.08308005627305624	0.011206036879325493	0.24811980854350013
iMF (test)	0.0782178169648501	0.011393541442122453	0.2484630415494264
kNN (full/test)	0.08066423375499332	0.010833326767322297	0.24769462270402837
Normalized kNN (full)	0.06493291041444302	0.00901195329247445	0.24543722259706025
Normalized kNN (test)	0.0025538686075115323	0.00273925341912098	0.24765318775886852
Average Rating	0.0011884403629720524	0.0025789812504380784	0.24714708100978813
Popularity	0.051745395502839096	0.007026904018785684	0.24539884443372548
Random	0.0025598894525506255	0.0013478413364464276	0.24367115465165434
